Longitude,Latitude,Pixel,Scan,Longitude180,TMC_X,TMC_Y,Inside_TMC_BBox,Coarse_Valid_Overlap
188.054657,-89.8490848,10400,18200,-171.94534299999998,-641.2146175999052,-4531.1116983271895,True,False
187.774739,-89.8483866,10500,18200,-172.225261,-621.9344438666491,-4555.167439782719,True,False
187.497419,-89.8476849,10600,18200,-172.50258099999996,-602.6559417271051,-4579.22034714893,True,False
187.222673,-89.8469796,10700,18200,-172.777327,-583.3796279041613,-4603.274948711559,True,False
186.950477,-89.846271,10800,18200,-173.04952300000002,-564.1044649957049,-4627.323721147164,True,False
186.68081,-89.8455589,10900,18200,-173.31919,-544.8315647747742,-4651.3741319004885,True,False
186.413647,-89.8448436,11000,18200,-173.58635300000003,-525.5598811643013,-4675.418617455944,True,False
186.148965,-89.8441249,11100,18200,-173.85103500000002,-506.29029268298234,-4699.464632461998,True,False
185.886741,-89.843403,11200,18200,-174.11325899999997,-487.022294084763,-4723.507561523112,True,False
185.626952,-89.8426779,11300,18200,-174.37304800000004,-467.7560564214878,-4747.548796294348,True,False
185.369575,-89.8419497,11400,18200,-174.630425,-448.49143780408116,-4771.586692770784,True,False
185.114586,-89.8412183,11500,18200,-174.88541399999997,-429.22877794925864,-4795.6256332402145,True,False
184.861963,-89.8404839,11600,18200,-175.138037,-409.96772908162046,-4819.660908148169,True,False
184.611682,-89.8397465,11700,18200,-175.38831800000003,-390.7083402727271,-4843.693842076482,True,False
184.36372,-89.8390061,11800,18200,-175.63628,-371.45071354135985,-4867.725735278956,True,False
184.118055,-89.8382628,11900,18200,-175.88194499999997,-352.1947882566894,-4891.754840656975,True,False
183.877086,-89.837524,11999,18200,-176.12291400000004,-333.133272167168,-4915.54446508841,True,False
232.769163,-89.8889513,0,18300,-127.23083700000001,-2681.1145806740647,-2037.352029177103,True,True
232.240127,-89.8889738,100,18300,-127.75987299999997,-2661.6494345196556,-2061.602892773209,True,True
231.710967,-89.8889867,200,18300,-128.28903300000002,-2642.1890560862103,-2085.85412715138,True,True
231.181773,-89.8889902,300,18300,-128.81822699999998,-2622.7286214774745,-2110.1020105361936,True,True
230.652636,-89.8889842,400,18300,-129.34736399999997,-2603.2705743500055,-2134.348415257394,True,True
230.123646,-89.8889687,500,18300,-129.876354,-2583.8149817075096,-2158.5934483452647,True,True
229.594893,-89.8889438,600,18300,-130.405107,-2564.3596594786973,-2182.8352948546176,True,True
229.066466,-89.8889094,700,18300,-130.933534,-2544.9070990769683,-2207.076114941399,True,True
228.538456,-89.8888656,800,18300,-131.461544,-2525.455311641414,-2231.3140895878932,True,True
228.010952,-89.8888123,900,18300,-131.98904800000003,-2506.006875825668,-2255.5515017892876,True,True
227.484042,-89.8887496,1000,18300,-132.515958,-2486.55984882035,-2279.7866998941336,True,True
226.957815,-89.8886775,1100,18300,-133.04218500000002,-2467.1146824502785,-2304.020011280655,True,True
226.432357,-89.8885961,1200,18300,-133.56764299999998,-2447.6695765836166,-2328.2498372093305,True,True
225.907755,-89.8885052,1300,18300,-134.092245,-2428.2294465734235,-2352.480816862552,True,True
225.384095,-89.8884051,1400,18300,-134.615905,-2408.7882871068773,-2376.70717346308,True,True
224.861462,-89.8882957,1500,18300,-135.13853800000004,-2389.348908088395,-2400.931561726688,True,True
224.33994,-89.8881769,1600,18300,-135.66006,-2369.9140683182986,-2425.1567845855416,True,True
223.819611,-89.888049,1700,18300,-136.180389,-2350.4780331164466,-2449.3770780546206,True,True
223.300556,-89.8879118,1800,18300,-136.69944399999997,-2331.0457291993744,-2473.597547196537,True,True
222.782857,-89.8877655,1900,18300,-137.21714299999996,-2311.613798286281,-2497.8145278054826,True,True
222.266591,-89.88761,2000,18300,-137.733409,-2292.185014199221,-2522.0311617651346,True,True
221.751837,-89.8874455,2100,18300,-138.24816299999998,-2272.756168677624,-2546.2438153355665,True,True
221.238671,-89.8872719,2200,18300,-138.761329,-2253.330151129299,-2570.455688022012,True,True
220.727167,-89.8870893,2300,18300,-139.272833,-2233.9057929085184,-2594.665549518142,True,True
220.217399,-89.8868977,2400,18300,-139.782601,-2214.4840349950146,-2618.874427878895,True,True
219.709438,-89.8866972,2500,18300,-140.29056200000002,-2195.063815088161,-2643.081147681128,True,True
219.203354,-89.8864879,2600,18300,-140.796646,-2175.644176800102,-2667.2845137226172,True,True
218.699215,-89.8862697,2700,18300,-141.30078500000002,-2156.2280154850473,-2691.4880826635367,True,True
218.197088,-89.8860428,2800,18300,-141.802912,-2136.8125407730918,-2715.688374872677,True,True
217.697037,-89.8858072,2900,18300,-142.30296299999998,-2117.3987647871477,-2739.886697060174,True,True
217.199126,-89.8855629,3000,18300,-142.80087400000002,-2097.987768143312,-2764.084362153392,True,True
216.703415,-89.8853101,3100,18300,-143.296585,-2078.576882919595,-2788.2779724980546,True,True
216.209963,-89.8850487,3200,18300,-143.79003699999998,-2059.1690005666865,-2812.4713838426737,True,True
215.718829,-89.8847789,3300,18300,-144.28117099999997,-2039.7616849350097,-2836.661130987681,True,True
215.230067,-89.8845006,3400,18300,-144.76993300000004,-2020.3577360053166,-2860.851238575655,True,True
214.743732,-89.884214,3500,18300,-145.25626799999998,-2000.9547989982016,-2885.0382799123213,True,True
214.259874,-89.8839191,3600,18300,-145.74012600000003,-1981.5539156713276,-2909.2238977138313,True,True
213.778543,-89.883616,3700,18300,-146.221457,-1962.154503302672,-2933.4072112920944,True,True
213.299787,-89.8833047,3800,18300,-146.70021299999996,-1942.7576888416959,-2957.5898839924826,True,True
212.823652,-89.8829854,3900,18300,-147.17634799999996,-1923.361270175908,-2981.7685471956697,True,False
212.350182,-89.882658,4000,18300,-147.64981799999998,-1903.9680380621105,-3005.9474712429633,True,False
211.879418,-89.8823227,4100,18300,-148.120582,-1884.575795505383,-3030.123349769259,True,False
211.411401,-89.8819796,4200,18300,-148.588599,-1865.184151376635,-3054.2953521093746,True,False
210.946168,-89.8816286,4300,18300,-149.053832,-1845.7957611198676,-3078.467922406408,True,False
210.483756,-89.8812699,4400,18300,-149.51624400000003,-1826.4086347630453,-3102.637707728428,True,False
210.024198,-89.8809035,4500,18300,-149.975802,-1807.0238223330894,-3126.80662602442,True,False
209.567528,-89.8805295,4600,18300,-150.43247199999996,-1787.6409829486659,-3150.9739168912756,True,False
209.113775,-89.880148,4700,18300,-150.88622499999997,-1768.259636272472,-3175.138919711625,True,False
208.662968,-89.8797591,4800,18300,-151.33703200000002,-1748.8794325049607,-3199.3009158999575,True,False
208.215134,-89.8793628,4900,18300,-151.78486599999997,-1729.5014747448342,-3223.4618646057443,True,False
207.770298,-89.8789592,5000,18300,-152.22970199999997,-1710.1253862669898,-3247.621091695837,True,False
207.328482,-89.8785484,5100,18300,-152.671518,-1690.7507465873448,-3271.777956604376,True,False
206.889709,-89.8781305,5200,18300,-153.11029099999996,-1671.37731621793,-3295.9317338174,True,False
206.453998,-89.8777055,5300,18300,-153.546002,-1652.0061007677257,-3320.0844767652893,True,False
206.021367,-89.8772735,5400,18300,-153.978633,-1632.6367551024755,-3344.2355294582385,True,False
205.591832,-89.8768345,5500,18300,-154.408168,-1613.270245867562,-3368.38697403621,True,False
205.165408,-89.8763888,5600,18300,-154.834592,-1593.9036473689364,-3392.532672964478,True,False
204.742108,-89.8759363,5700,18300,-155.25789199999997,-1574.5392698106064,-3416.6774317189356,True,False
204.321944,-89.875477,5800,18300,-155.67805599999997,-1555.178064848018,-3440.823344313875,True,False
203.904926,-89.8750112,5900,18300,-156.095074,-1535.817208241165,-3464.9642275178826,True,False
203.491062,-89.8745388,6000,18300,-156.508938,-1516.4588586466343,-3489.1049534187737,True,False
203.080359,-89.87406,6100,18300,-156.919641,-1497.101492659854,-3513.242071580134,True,False
202.672823,-89.8735748,6200,18300,-157.327177,-1477.7460471475915,-3537.3776702561636,True,False
202.268459,-89.8730832,6300,18300,-157.731541,-1458.393420339667,-3561.5138489981987,True,False
201.86727,-89.8725855,6400,18300,-158.13273000000004,-1439.041019884748,-3585.644300312578,True,False
201.469256,-89.8720815,6500,18300,-158.53074400000003,-1419.6918689856136,-3609.776790601858,True,False
201.074419,-89.8715715,6600,18300,-158.92558099999997,-1400.3435245389194,-3633.904933841235,True,False
200.682758,-89.8710555,6700,18300,-159.31724199999996,-1380.996817289965,-3658.030822777209,True,False
200.29427,-89.8705335,6800,18300,-159.70573000000002,-1361.6524633120894,-3682.1565821328927,True,False
199.908954,-89.8700057,6900,18300,-160.091046,-1342.309254156148,-3706.278569882373,True,False
199.526804,-89.8694721,7000,18300,-160.47319600000003,-1322.9678506820765,-3730.398906338931,True,False
199.147815,-89.8689327,7100,18300,-160.85218499999996,-1303.6289856834562,-3754.519670677421,True,False
198.771982,-89.8683877,7200,18300,-161.22801800000002,-1284.291449110343,-3778.637183476589,True,False
198.399296,-89.8678371,7300,18300,-161.600704,-1264.9558386929905,-3802.7535419716787,True,False
198.02975,-89.8672811,7400,18300,-161.97024999999996,-1245.6210106306428,-3826.865014213731,True,False
197.663335,-89.8667196,7500,18300,-162.33666500000004,-1226.2886005590458,-3850.9765159766753,True,False
197.300041,-89.8661527,7600,18300,-162.69995900000004,-1206.9583013547117,-3875.0872009496698,True,False
196.939856,-89.8655805,7700,18300,-163.06014400000004,-1187.6297439602583,-3899.19622393793,True,False
196.58277,-89.8650031,7800,18300,-163.41723000000002,-1168.3027663844878,-3923.302657940802,True,False
196.228769,-89.8644206,7900,18300,-163.771231,-1148.9770038090605,-3947.4056198011885,True,False
195.877841,-89.8638329,8000,18300,-164.122159,-1129.6539545227902,-3971.5099803523385,True,False
195.529972,-89.8632403,8100,18300,-164.470028,-1110.3316558299464,-3995.608967185845,True,False
195.185148,-89.8626427,8200,18300,-164.81485199999997,-1091.011528098834,-4019.707437014794,True,False
194.843353,-89.8620402,8300,18300,-165.15664700000002,-1071.693219899529,-4043.8044246176673,True,False
194.504572,-89.8614329,8400,18300,-165.495428,-1052.3765108288992,-4067.8989090969158,True,False
194.168789,-89.8608208,8500,18300,-165.831211,-1033.0619121225939,-4091.9927933693903,True,False
193.835986,-89.860204,8600,18300,-166.164014,-1013.7490560025367,-4116.085054365462,True,False
