source_x,source_y,reference_x,reference_y,source_map_x_m,source_map_y_m,reference_map_x_m,reference_map_y_m,final_residual_px,final_residual_nominal_m
295.375,101.875,294.80078125,101.55916595458984,569703.3984375,-101692.224609375,569700.52734375,-101690.64543914795,0.9396222764907423,4.698111382453711
346.375,101.875,346.88671875,104.21005249023438,569958.3984375,-101692.224609375,569960.95703125,-101703.89987182617,2.537127887843472,12.68563943921736
352.375,101.875,354.83203125,102.44279479980469,569988.3984375,-101692.224609375,570000.68359375,-101695.06358337402,2.288413195781936,11.442065978909678
305.125,103.375,305.39453125,103.32642364501953,569752.1484375,-101699.724609375,569753.49609375,-101699.4817276001,0.1805859781683381,0.9029298908416905
103.375,104.125,103.23046875,104.21005249023438,568743.3984375,-101703.474609375,568742.67578125,-101703.89987182617,0.8021237749636132,4.010618874818066
285.625,104.875,284.20703125,104.21005249023438,569654.6484375,-101707.224609375,569647.55859375,-101703.89987182617,1.8523695572352301,9.261847786176151
367.375,106.375,366.30859375,105.9773178100586,570063.3984375,-101714.724609375,570058.06640625,-101712.7361984253,1.3781763954010835,6.890881977005417
306.625,107.125,306.27734375,107.74457550048828,569759.6484375,-101718.474609375,569757.91015625,-101721.57248687744,1.093660709301818,5.46830354650909
107.125,107.875,107.64453125,108.62820434570312,568762.1484375,-101722.224609375,568764.74609375,-101725.99063110352,1.0318457917148471,5.159228958574236
316.375,109.375,315.98828125,108.62820434570312,569808.3984375,-101729.724609375,569806.46484375,-101725.99063110352,0.9197439088023449,4.598719544011725
325.375,110.125,323.93359375,110.39546203613281,569853.3984375,-101733.474609375,569846.19140625,-101734.82691955566,1.8568252396123435,9.284126198061717
98.125,113.875,97.93359375,114.81360626220703,568717.1484375,-101752.224609375,568716.19140625,-101756.91764068604,1.4617382253807811,7.308691126903906
284.875,113.875,285.08984375,113.04634857177734,569650.8984375,-101752.224609375,569651.97265625,-101748.08135223389,0.6344922660615331,3.1724613303076654
359.875,114.625,360.12890625,113.04634857177734,570025.8984375,-101755.974609375,570027.16796875,-101748.08135223389,1.3802982295414516,6.901491147707258
338.125,116.125,341.58984375,115.69723510742188,569917.1484375,-101763.474609375,569934.47265625,-101761.33578491211,3.1148745890624396,15.574372945312199
349.375,116.125,350.41796875,113.92997741699219,569973.3984375,-101763.474609375,569978.61328125,-101752.49949645996,2.108506275107404,10.54253137553702
328.375,118.375,329.23046875,118.3481216430664,569868.3984375,-101774.724609375,569872.67578125,-101774.59021759033,0.5155388473018713,2.5776942365093563
113.875,122.125,113.82421875,121.88263702392578,568795.8984375,-101793.474609375,568795.64453125,-101792.26279449463,0.6690400180715593,3.3452000903577965
308.125,122.125,308.04296875,122.76626586914062,569767.1484375,-101793.474609375,569766.73828125,-101796.6809387207,0.9945051814285983,4.972525907142992
359.125,122.875,358.36328125,121.88263702392578,570022.1484375,-101797.224609375,570018.33984375,-101792.26279449463,1.3655300154490162,6.827650077245081
320.875,124.375,321.28515625,124.53352355957031,569830.8984375,-101804.724609375,569832.94921875,-101805.51722717285,0.3803416030099683,1.9017080150498413
295.375,125.875,294.80078125,126.30078887939453,569703.3984375,-101812.224609375,569700.52734375,-101814.35355377197,1.2032024486945154,6.016012243472577
324.625,128.125,323.93359375,128.95167541503906,569849.6484375,-101823.474609375,569846.19140625,-101827.6079864502,1.5215052958301878,7.607526479150939
353.875,128.125,353.94921875,128.0680389404297,569995.8984375,-101823.474609375,569996.26953125,-101823.18980407715,0.3419989145117861,1.7099945725589305
92.875,131.875,92.63671875,132.48619079589844,568690.8984375,-101842.224609375,568689.70703125,-101845.28056335449,1.2880273339335593,6.440136669667797
116.125,136.375,116.47265625,136.0207061767578,568807.1484375,-101864.724609375,568808.88671875,-101862.95314025879,0.31563644025060233,1.5781822012530116
354.625,137.875,353.94921875,137.7879638671875,569999.6484375,-101872.224609375,569996.26953125,-101871.78942871094,1.0914762178843849,5.457381089421924
90.625,139.375,91.75390625,136.9043426513672,568679.6484375,-101879.724609375,568685.29296875,-101867.37132263184,2.2038250951292597,11.019125475646298
89.875,143.125,89.98828125,143.08973693847656,568675.8984375,-101898.474609375,568676.46484375,-101898.29829406738,0.6560865109443861,3.2804325547219304
124.375,146.125,124.41796875,145.74063110351562,568848.3984375,-101913.474609375,568848.61328125,-101911.55276489258,0.6416912676961106,3.208456338480553
161.875,155.875,162.37890625,155.46054077148438,569035.8984375,-101962.224609375,569038.41796875,-101960.15231323242,0.20071720103566185,1.0035860051783092
