source_x,source_y,reference_x,reference_y,confidence,ground_truth_error_px
1312.5,438.5,1310.5,490.5,0.9994808,1.0263854
804.5,440.5,802.5,448.5,0.9982895,1.408951
260.5,442.5,260.5,404.5,0.96329576,1.4122231
684.5,442.5,684.5,440.5,0.99951047,0.47615692
1710.5,444.5,1706.5,532.5,0.9979373,0.6851962
242.5,446.5,242.5,406.5,0.9988729,0.96291184
412.5,446.5,412.5,418.5,0.96623087,2.441237
1364.5,446.5,1360.5,502.5,0.99957013,1.5301002
1576.5,446.5,1572.5,522.5,0.9992587,0.2288473
150.5,448.5,150.5,398.5,0.99519235,1.9075522
176.5,448.5,176.5,402.5,0.99794066,0.96983147
344.5,448.5,344.5,416.5,0.9900539,0.58970284
702.5,448.5,702.5,448.5,0.9966951,1.0858482
334.5,450.5,334.5,416.5,0.9374868,1.6268907
468.5,450.5,468.5,430.5,0.99919665,0.77666825
916.5,450.5,914.5,468.5,0.999142,0.3426674
1164.5,450.5,1160.5,490.5,0.99889284,1.0257312
2024.5,450.5,2016.5,566.5,0.985542,2.0638106
960.5,452.5,958.5,474.5,0.99942535,0.40947297
324.5,454.5,324.5,420.5,0.9700365,0.7408005
106.5,458.5,108.5,404.5,0.9980057,2.3771007
1652.5,458.5,1646.5,542.5,0.9989251,1.6128414
768.5,460.5,766.5,466.5,0.99841136,0.6860106
360.5,462.5,360.5,432.5,0.99912655,0.97537035
1270.5,462.5,1266.5,512.5,0.9943741,0.9512849
1298.5,462.5,1294.5,514.5,0.9994395,0.6714887
432.5,466.5,432.5,442.5,0.99524915,1.5871887
1042.5,466.5,1038.5,496.5,0.9993007,0.74409056
1152.5,466.5,1148.5,504.5,0.9961666,0.9087848
1332.5,466.5,1326.5,522.5,0.99818385,1.7669868
76.5,468.5,78.5,412.5,0.9944587,2.6279526
652.5,468.5,650.5,464.5,0.9994929,0.9471938
964.5,474.5,960.5,496.5,0.9957629,0.5303847
1696.5,476.5,1688.5,562.5,0.99885154,0.76768845
344.5,478.5,342.5,446.5,0.9983965,0.4824342
1124.5,478.5,1120.5,514.5,0.9988057,1.3144172
888.5,482.5,884.5,498.5,0.9981499,0.7473451
2030.5,482.5,2020.5,596.5,0.98426294,1.6133724
1544.5,486.5,1536.5,560.5,0.9977385,1.1500437
1502.5,488.5,1494.5,558.5,0.99906677,0.8457311
356.5,490.5,352.5,460.5,0.99562645,0.87081367
680.5,490.5,674.5,488.5,0.9971695,1.4316653
836.5,490.5,830.5,500.5,0.9994508,1.448755
1188.5,490.5,1182.5,532.5,0.99917287,0.56255865
1222.5,490.5,1214.5,536.5,0.9982033,1.7434508
222.5,492.5,218.5,450.5,0.9988081,0.9965615
286.5,492.5,282.5,456.5,0.9984219,1.0127388
338.5,492.5,334.5,460.5,0.9962062,0.54347754
1360.5,492.5,1352.5,548.5,0.9982668,1.0743157
434.5,494.5,430.5,470.5,0.99921066,0.16776079
610.5,494.5,604.5,484.5,0.9995703,1.9867675
1098.5,494.5,1090.5,528.5,0.9987466,1.4416134
934.5,496.5,928.5,516.5,0.9994322,0.28666124
1922.5,496.5,1912.5,602.5,0.9922978,0.20325118
56.5,498.5,54.5,442.5,0.9902944,1.2332525
454.5,498.5,450.5,476.5,0.9994609,0.46940377
1080.5,498.5,1072.5,530.5,0.9984822,1.2459028
158.5,500.5,154.5,452.5,0.9992582,0.50268257
1640.5,500.5,1630.5,580.5,0.95391285,1.5162016
976.5,504.5,970.5,528.5,0.99737304,1.1562316
1846.5,504.5,1832.5,604.5,0.9864024,3.8101325
36.5,506.5,32.5,448.5,0.9890032,0.7170723
526.5,506.5,522.5,490.5,0.99969643,1.434752
352.5,510.5,346.5,478.5,0.9985461,1.3036997
1648.5,510.5,1636.5,590.5,0.997098,2.7328272
316.5,512.5,310.5,478.5,0.9455153,0.8686255
1520.5,512.5,1510.5,582.5,0.99816346,0.79340416
