source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
1114.125,511.375,1812.5,504.5,698.375,-6.875,698.4088388973897
1099.125,524.125,1788.5,512.5,689.375,-11.625,689.473009805315
1126.875,535.375,1820.5,522.5,693.625,-12.875,693.744481960037
1180.125,544.375,1874.5,532.5,694.375,-11.875,694.4765339808106
1135.125,562.375,1820.5,560.5,685.375,-1.875,685.3775647407784
1237.125,564.625,1928.5,552.5,691.375,-12.125,691.4813130157604
1267.875,566.125,1950.5,560.5,682.625,-5.625,682.6481753070171
637.125,575.875,320.5,348.5,-316.625,-227.375,389.808646966688
1153.125,578.875,1848.5,568.5,695.375,-10.375,695.4523932304784
1199.625,585.625,1892.5,570.5,692.875,-15.125,693.0400646788034
1273.125,588.625,1968.5,578.5,695.375,-10.125,695.4487085687916
1199.625,589.375,1910.5,580.5,710.875,-8.875,710.9303983161783
1102.875,590.875,1678.5,562.5,575.625,-28.375,576.3239377728466
1200.375,602.125,1894.5,592.5,694.125,-9.625,694.1917287392583
1219.875,610.375,1916.5,598.5,696.625,-11.875,696.7262060881592
1273.125,619.375,1978.5,620.5,705.375,1.125,705.3758971286161
1240.125,622.375,1938.5,610.5,698.375,-11.875,698.4759525209154
1231.125,626.125,1928.5,614.5,697.375,-11.625,697.4718856341093
1224.375,632.875,1920.5,624.5,696.125,-8.375,696.1753775091446
1242.375,658.375,1936.5,652.5,694.125,-5.875,694.1498622415768
1254.375,662.125,1960.5,654.5,706.125,-7.625,706.1661675908865
1196.625,680.125,1890.5,670.5,693.875,-9.625,693.9417527790066
1135.125,692.875,1830.5,680.5,695.375,-12.375,695.485104980689
1249.125,722.125,1942.5,710.5,693.375,-11.625,693.4724444777889
1151.625,723.625,1848.5,714.5,696.875,-9.125,696.9347395918788
1264.875,730.375,1958.5,720.5,693.625,-9.875,693.6952906355931
1199.625,733.375,1894.5,722.5,694.875,-10.875,694.9600932787436
1141.125,746.125,1840.5,738.5,699.375,-7.625,699.4165648953419
1159.875,758.125,1870.5,748.5,710.625,-9.625,710.6901795086238
1207.875,758.125,1902.5,740.5,694.625,-17.625,694.8485671353147
1087.625,261.625,1390.625,237.10704040527344,303.0,-24.517959594726562,303.9903458050743
1199.375,267.625,1545.875,234.85484313964844,346.5,-32.77015686035156,348.04616530088657
1195.625,269.875,1534.625,241.61143493652344,339.0,-28.263565063476562,340.17617363668694
1240.625,317.875,1694.375,320.43841552734375,453.75,2.56341552734375,453.75724082284995
1677.875,317.875,2506.625,410.5263977050781,828.75,92.65139770507812,833.9129714764632
1253.375,329.875,1707.875,331.6994323730469,454.5,1.824432373046875,454.50366176025886
1464.125,355.375,2135.375,336.2038269042969,671.25,-19.171173095703125,671.5237124464522
1411.625,374.875,2106.125,349.7170104980469,694.5,-25.157989501953125,694.9555197534446
1324.625,380.875,2009.375,347.4648132324219,684.75,-33.410186767578125,685.564587095807
1438.625,393.625,2121.875,369.98681640625,683.25,-23.63818359375,683.6587790876467
1454.375,395.125,2144.375,369.98681640625,690.0,-25.13818359375,690.4577671910087
1431.875,404.125,2124.125,388.00439453125,692.25,-16.12060546875,692.43767692167
1118.375,413.125,1813.625,392.5088195800781,695.25,-20.616180419921875,695.555597630489
1375.625,453.625,2025.125,426.29180908203125,649.5,-27.33319091796875,650.0748828602426
1472.375,464.875,2169.125,448.81378173828125,696.75,-16.06121826171875,696.9350939879915
1410.125,473.125,2101.625,448.81378173828125,691.5,-24.31121826171875,691.9272254604301
1402.625,476.125,2081.375,462.3269958496094,678.75,-13.798004150390625,678.8902322309066
1101.875,483.625,1795.625,473.5879821777344,693.75,-10.037017822265625,693.822602850876
1344.125,488.875,2009.375,473.5879821777344,665.25,-15.287017822265625,665.425619745662
1464.125,491.875,2164.625,482.5967712402344,700.5,-9.278228759765625,700.5614430789911
1425.875,497.875,2119.625,482.5967712402344,693.75,-15.278228759765625,693.9182133177048
1524.875,507.625,2211.875,482.5967712402344,687.0,-25.028228759765625,687.4557529287621
1113.875,512.125,1809.125,507.3709716796875,695.25,-4.7540283203125,695.2662535211027
1350.125,524.875,2047.625,511.8753662109375,697.5,-12.9996337890625,697.6211296102274
1326.125,526.375,2000.375,523.1363525390625,674.25,-3.2386474609375,674.2577781066943
1785.125,527.875,2529.125,493.8577880859375,744.0,-34.0172119140625,744.7772624794652
1421.375,530.875,2112.875,523.1363525390625,691.5,-7.7386474609375,691.5433006432241
1127.375,535.375,1820.375,523.1363525390625,693.0,-12.2386474609375,693.108061193688
1530.125,541.375,2245.625,545.6583862304688,715.5,4.28338623046875,715.5128212670961
1179.875,543.625,1874.375,532.1452026367188,694.5,-11.47979736328125,694.5948716680119
1517.375,544.375,2238.875,559.1715698242188,721.5,14.79656982421875,721.6517085676185
1438.625,545.125,2126.375,541.1539916992188,687.75,-3.97100830078125,687.7614640316255
1391.375,546.625,2083.625,534.3973999023438,692.25,-12.22760009765625,692.3579830580046
1485.875,548.125,2180.375,541.1539916992188,694.5,-6.97100830078125,694.5349846888417
1029.875,551.875,1721.375,541.1539916992188,691.5,-10.72100830078125,691.5831042029479
1347.125,555.625,2043.125,550.1627807617188,696.0,-5.46221923828125,696.0214334623662
1286.375,559.375,1971.125,552.4149780273438,684.75,-6.96002197265625,684.7853710512951
1193.375,571.375,1885.625,552.4149780273438,692.25,-18.96002197265625,692.50959916322
1155.125,578.875,1849.625,570.4325561523438,694.5,-8.44244384765625,694.5513118971994
1428.875,580.375,2117.375,559.1715698242188,688.5,-21.20343017578125,688.826418955617
1074.875,581.125,1770.875,559.1715698242188,696.0,-21.95343017578125,696.3461445979887
1199.375,586.375,1894.625,572.6847534179688,695.25,-13.69024658203125,695.3847750357185
1506.125,586.375,2198.375,574.9369506835938,692.25,-11.43804931640625,692.3444890169666
1272.875,588.625,1968.875,579.4413452148438,696.0,-9.18365478515625,696.060586095214
1099.625,591.625,1791.125,581.6935424804688,691.5,-9.93145751953125,691.5713150850477
1737.875,597.625,2427.875,538.9017944335938,690.0,-58.72320556640625,692.4943428447589
1200.125,602.125,1894.625,592.9545288085938,694.5,-9.17047119140625,694.5605427476229
1260.125,604.375,1955.375,597.458984375,695.25,-6.916015625,695.2843977626171
1299.125,605.875,1989.125,590.7023315429688,690.0,-15.17266845703125,690.1667985843038
1509.875,611.875,2209.625,590.7023315429688,699.75,-21.17266845703125,700.0702424682764
1491.875,615.625,2191.625,601.96337890625,699.75,-13.66162109375,699.88334913106
1453.625,616.375,2153.375,610.97216796875,699.75,-5.40283203125,699.7708575626438
1239.125,621.625,1937.375,610.97216796875,698.25,-10.65283203125,698.3312575921874
1074.125,623.125,1768.625,610.97216796875,694.5,-12.15283203125,694.6063211102961
1224.125,633.625,1919.375,624.4853515625,695.25,-9.1396484375,695.3100716037135
1525.625,635.875,2211.875,622.233154296875,686.25,-13.641845703125,686.3855785593021
1554.875,639.625,2234.375,617.728759765625,679.5,-21.896240234375,679.8527012054901
1316.375,641.125,1995.875,628.98974609375,679.5,-12.13525390625,679.6083536768579
1057.625,647.125,1743.875,624.4853515625,686.25,-22.6396484375,686.6233437492302
1230.125,647.125,1921.625,644.755126953125,691.5,-2.369873046875,691.5040609412632
1314.875,651.625,1998.125,640.250732421875,683.25,-11.374267578125,683.3446688626017
1515.125,662.125,2211.875,640.250732421875,696.75,-21.874267578125,697.093283630017
1554.875,665.125,2245.625,644.755126953125,690.75,-20.369873046875,691.0502834294664
1309.625,687.625,1984.625,669.5293579101562,675.0,-18.09564208984375,675.2425136664928
1458.875,689.125,2155.625,683.0425415039062,696.75,-6.08245849609375,696.7765486878535
1132.625,689.875,1831.625,683.0425415039062,699.0,-6.83245849609375,699.0333915408482
1425.125,701.125,2119.625,689.7991333007812,694.5,-11.32586669921875,694.5923446572734
1551.875,702.625,2223.125,617.728759765625,671.25,-84.896240234375,676.5973204986351
1391.375,707.125,2027.375,649.259521484375,636.0,-57.865478515625,638.6269753180195
1263.125,716.875,1941.875,712.3211059570312,678.75,-4.55389404296875,678.7652764033784
1153.625,723.625,1847.375,712.3211059570312,693.75,-11.30389404296875,693.8420861554412
1263.125,726.625,1959.875,721.3299560546875,696.75,-5.2950439453125,696.7701199035323
